slate_date,home_team,away_team,home_projected,away_projected,projected_total,open_total,totals_conf,proj_spread,open_spread_home,spread_conf,home_actual,away_actual,total_actual,total_play,spread_play,total_result,spread_result,close_total,close_spread_home,total_line_mvt,spread_line_mvt,home_conf_grp,away_conf_grp,home_pace_group,away_pace_group,YEAR,MONTH
2025-12-27,UNC Wilmington Seahawks,Columbia College (SC) Fighting Koalas,,,,,,,,,100,56,156,UNDER,PASS,,,,,,,MM,,,,2025,DEC
2025-12-27,Duquesne Dukes,Cleary University Cougars,,,,,,,,,99,49,148,UNDER,PASS,,,,,,,HM2,,,,2025,DEC
2025-12-27,Stanford Cardinal,Cal State Northridge Matadors,80.2403663517092,75.75882595598311,155.9991923076923,,,-4.4815403957260855,,,88,80,168,UNDER,PASS,,,,,,,P6,MM,mid,mid,2025,DEC
