odds_team_name,espn_teamname,espn_teamid,conference,conf_grp
Baylor Bears,Baylor Bears,239,Big 12,P6
Rice Owls,Rice Owls,242,AAC,HM2
Texas A&M Aggies,Texas A&M Aggies,245,SEC,P6
Houston Cougars,Houston Cougars,248,Big 12,P6
Texas Longhorns,Texas Longhorns,251,SEC,P6
BYU Cougars,BYU Cougars,252,Big 12,P6
Southern Utah Thunderbirds,Southern Utah Thunderbirds,253,WAC,MM
Utah Utes,Utah Utes,254,Big 12,P6
James Madison Dukes,James Madison Dukes,256,Sun Belt,MM
Richmond Spiders,Richmond Spiders,257,Atlantic 10,HM2
Virginia Cavaliers,Virginia Cavaliers,258,ACC,P6
Virginia Tech Hokies,Virginia Tech Hokies,259,ACC,P6
Vermont Catamounts,Vermont Catamounts,261,America East,LM
Washington St Cougars,Washington State Cougars,264,Pac-12,HM2
Marquette Golden Eagles,Marquette Golden Eagles,269,Big East,P6
Milwaukee Panthers,Milwaukee Panthers,270,Horizon League,MM
Wisconsin Badgers,Wisconsin Badgers,275,Big Ten,P6
West Virginia Mountaineers,West Virginia Mountaineers,277,Big 12,P6
Fresno St Bulldogs,Fresno State Bulldogs,278,Mountain West,HM2
Pacific Tigers,Pacific Tigers,279,WCC,HM2
Indiana St Sycamores,Indiana State Sycamores,282,MVC,HM2
Stonehill Skyhawks,Stonehill Skyhawks,284,NEC,LM
Georgia Southern Eagles,Georgia Southern Eagles,290,Sun Belt,MM
UT Rio Grande Valley Vaqueros,UT Rio Grande Valley Vaqueros,292,Southland,LM
Jacksonville Dolphins,Jacksonville Dolphins,294,ASUN,LM
Jacksonville St Gamecocks,Jacksonville State Gamecocks,294,C-USA,MM
Long Beach State Beach,Long Beach State Beach,299,Big West,MM
UC Irvine Anteaters,UC Irvine Anteaters,300,Big West,MM
San Diego Toreros,San Diego Toreros,301,WCC,HM2
UC Davis Aggies,UC Davis Aggies,302,Big West,MM
Idaho State Bengals,Idaho State Bengals,304,Big Sky,LM
DePaul Blue Demons,DePaul Blue Demons,305,Big East,P6
Maine Black Bears,Maine Black Bears,311,America East,LM
Iona Gaels,Iona Gaels,314,MAAC,LM
Niagara Purple Eagles,Niagara Purple Eagles,315,MAAC,LM
Lafayette Leopards,Lafayette Leopards,322,Patriot League,LM
Coastal Carolina Chanticleers,Coastal Carolina Chanticleers,324,Sun Belt,MM
Texas State Bobcats,Texas State Bobcats,326,Sun Belt,MM
Utah State Aggies,Utah State Aggies,328,Mountain West,HM2
Eastern Washington Eagles,Eastern Washington Eagles,331,Big Sky,LM
Alabama Crimson Tide,Alabama Crimson Tide,333,SEC,P6
Alabama St Hornets,Alabama State Hornets,333,SWAC,LM
Evansville Purple Aces,Evansville Purple Aces,339,MVC,HM2
Mississippi St Bulldogs,Mississippi State Bulldogs,344,SEC,P6
Army Knights,Army Black Knights,349,Patriot League,LM
UNC Wilmington Seahawks,UNC Wilmington Seahawks,350,CAA,MM
Illinois Fighting Illini,Illinois Fighting Illini,356,Big Ten,P6
Texas A&M-CC Islanders,Texas A&M-Corpus Christi Islanders,357,Southland,LM
Albany Great Danes,UAlbany Great Danes,399,America East,LM
Air Force Falcons,Air Force Falcons,2005,Mountain West,HM2
Akron Zips,Akron Zips,2006,MAC,MM
Alabama A&M Bulldogs,Alabama A&M Bulldogs,2010,SWAC,LM
Alcorn St Braves,Alcorn State Braves,2016,SWAC,LM
Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff Golden Lions,2029,SWAC,LM
Arkansas St Red Wolves,Arkansas State Red Wolves,2032,Sun Belt,MM
Ball State Cardinals,Ball State Cardinals,2050,MAC,MM
Belmont Bruins,Belmont Bruins,2057,MVC,HM2
Bethune-Cookman Wildcats,Bethune-Cookman Wildcats,2065,SWAC,LM
Binghamton Bearcats,Binghamton Bearcats,2066,America East,LM
Bucknell Bison,Bucknell Bison,2083,Patriot League,LM
Buffalo Bulls,Buffalo Bulls,2084,MAC,MM
Butler Bulldogs,Butler Bulldogs,2086,Big East,P6
Campbell Fighting Camels,Campbell Fighting Camels,2097,CAA,MM
Canisius Golden Griffins,Canisius Golden Griffins,2099,MAAC,LM
Central Connecticut St Blue Devils,Central Connecticut Blue Devils,2115,NEC,LM
